Evaluation
Total Distance	1429.4978348600534
Used Vehicle Number	15

VehicleID	CustomerID
0	o-46-47-36-49-64-63-90-32-27-d
1	o-30-20-66-71-65-35-34-78-29-28-d
2	o-61-16-86-44-14-91-85-17-45-60-89-d
3	o-42-43-15-41-22-75-56-74-57-2-58-d
4	o-59-37-98-93-5-99-84-83-82-18-96-6-d
5	o-12-68-80-24-54-39-55-4-25-26-d
6	o-21-72-73-23-97-95-94-13-40-d
7	o-48-19-11-10-51-70-31-88-7-52-d
8	o-3-33-81-50-9-77-1-d
9	o-92-38-100-d
10	o-62-8-d
11	o-69-76-53-d
12	o-87-d
13	o-79-d
14	o-67-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
