Evaluation
Total Distance	1373.618062430629
Used Vehicle Number	13

VehicleID	CustomerID
0	o-81-78-34-35-71-20-66-65-d
1	o-16-17-45-46-47-36-49-64-d
2	o-56-39-23-67-41-22-74-72-75-73-d
3	o-61-86-44-38-43-42-91-14-95-d
4	o-82-48-19-11-10-70-30-32-90-63-d
5	o-51-33-3-29-24-54-55-4-25-26-d
6	o-28-12-80-68-50-9-7-88-31-1-d
7	o-40-2-57-15-87-97-59-93-85-98-100-37-d
8	o-6-94-96-5-60-83-8-89-27-52-18-d
9	o-21-69-76-79-77-d
10	o-92-62-84-13-58-d
11	o-99-d
12	o-53-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
