Evaluation
Total Distance	2050.0657782999924
Used Vehicle Number	15

VehicleID	CustomerID
0	o-83-65-59-97-75-77-58-57-d
1	o-95-92-32-30-28-26-29-31-34-50-d
2	o-43-42-37-44-40-35-71-72-d
3	o-36-39-38-41-46-5-3-1-d
4	o-2-7-45-6-8-4-73-60-d
5	o-90-82-98-69-88-79-14-16-17-47-d
6	o-85-63-33-18-89-d
7	o-91-51-62-67-84-19-21-48-d
8	o-24-20-64-49-22-52-74-86-d
9	o-12-11-15-9-87-10-13-80-d
10	o-96-94-27-56-66-81-54-d
11	o-61-23-25-d
12	o-76-68-55-70-100-d
13	o-99-78-93-d
14	o-53-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
