Evaluation
Total Distance	1734.8532634719795
Used Vehicle Number	13

VehicleID	CustomerID
0	o-7-46-45-5-3-8-6-2-4-1-100-d
1	o-59-75-97-9-14-47-17-16-d
2	o-60-12-11-15-87-10-13-86-52-d
3	o-24-20-19-21-23-22-49-48-25-18-d
4	o-34-31-29-27-32-28-26-50-85-d
5	o-95-63-33-30-51-89-d
6	o-43-37-36-40-38-41-35-54-72-d
7	o-61-42-39-44-81-96-94-91-93-71-d
8	o-90-82-98-73-78-53-74-57-83-d
9	o-65-69-88-79-68-55-70-80-d
10	o-92-62-76-84-66-56-d
11	o-64-99-77-58-d
12	o-67-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
