Evaluation
Total Distance	1683.9102094979683
Used Vehicle Number	13

VehicleID	CustomerID
0	o-75-97-59-87-86-74-58-90-d
1	o-50-32-27-30-28-26-29-31-34-80-d
2	o-39-37-36-38-40-41-43-35-72-81-d
3	o-21-48-18-76-89-63-85-95-91-d
4	o-12-14-47-16-15-9-10-13-17-82-d
5	o-46-45-7-73-79-5-60-98-d
6	o-2-3-1-8-6-4-70-61-d
7	o-54-42-44-71-51-94-96-d
8	o-20-19-23-24-22-49-77-25-83-d
9	o-65-69-88-78-53-55-68-100-d
10	o-92-33-67-84-56-66-93-d
11	o-57-11-99-52-d
12	o-62-64-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
