Evaluation
Total Distance	1775.791388282148
Used Vehicle Number	14

VehicleID	CustomerID
0	o-7-45-1-8-46-5-3-55-2-d
1	o-95-85-63-89-76-19-21-48-18-20-d
2	o-34-31-29-27-26-28-32-50-51-d
3	o-75-97-59-87-86-74-58-90-d
4	o-43-42-37-44-40-35-71-72-d
5	o-73-16-15-47-14-10-13-17-12-82-d
6	o-52-57-24-23-49-22-77-25-83-d
7	o-60-11-79-6-4-70-100-d
8	o-96-94-33-30-56-91-93-54-d
9	o-61-39-36-38-41-98-68-81-80-d
10	o-65-92-64-67-84-66-d
11	o-69-88-53-78-d
12	o-62-99-d
13	o-9-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
