Evaluation
Total Distance	1784.6252968176882
Used Vehicle Number	13

VehicleID	CustomerID
0	o-34-31-29-27-32-28-26-50-85-d
1	o-52-57-86-59-97-87-75-58-90-d
2	o-95-63-33-30-51-89-d
3	o-19-18-48-21-23-49-20-24-25-77-d
4	o-43-37-36-40-38-41-35-54-72-d
5	o-94-71-62-76-74-83-82-d
6	o-98-12-14-47-15-9-10-13-17-16-d
7	o-7-46-45-1-3-8-2-4-5-60-d
8	o-65-11-78-79-55-73-d
9	o-61-42-39-44-6-81-93-96-d
10	o-91-92-64-99-22-56-80-d
11	o-69-67-84-66-68-100-70-d
12	o-88-53-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
