Evaluation
Total Distance	1859.9711275436227
Used Vehicle Number	5

VehicleID	CustomerID
0	o-31-63-1-50-3-33-34-65-69-71-29-72-75-67-21-2-57-22-41-94-96-95-59-37-98-85-5-97-43-74-4-60-83-82-17-7-93-100-91-d
1	o-52-48-92-42-14-45-36-47-62-11-19-88-64-90-9-51-78-49-46-10-20-66-32-35-68-24-25-80-77-70-58-26-12-d
2	o-39-28-27-23-15-44-16-61-99-38-18-84-86-6-55-54-56-89-13-d
3	o-30-76-73-40-79-81-8-d
4	o-53-87-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
