Evaluation
Total Distance	1722.6681444568358
Used Vehicle Number	5

VehicleID	CustomerID
0	o-26-2-42-92-37-98-85-91-14-15-39-23-67-73-38-41-22-75-72-21-57-12-56-43-97-13-4-74-100-17-83-60-5-93-59-95-96-94-58-d
1	o-31-82-48-36-47-63-65-64-11-19-62-30-51-88-7-8-86-84-49-46-10-20-66-32-35-34-24-3-50-77-80-25-1-70-52-d
2	o-33-27-28-45-69-44-16-61-99-40-18-6-87-78-55-54-68-89-d
3	o-29-71-76-79-81-90-9-d
4	o-53-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
