Evaluation
Total Distance	1867.9565006064786
Used Vehicle Number	5

VehicleID	CustomerID
0	o-31-63-7-82-48-83-45-36-47-64-11-19-62-30-71-90-51-9-81-34-78-3-12-26-50-1-10-20-66-35-68-32-24-25-75-80-77-70-d
1	o-94-95-96-5-59-37-98-85-91-92-42-14-15-23-44-38-16-61-86-57-2-21-72-22-41-52-56-55-54-43-13-4-74-60-17-89-58-93-100-d
2	o-39-33-65-69-27-28-29-67-73-40-99-8-84-6-53-46-97-d
3	o-88-76-18-87-49-d
4	o-79-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
