Evaluation
Total Distance	1874.6765376758115
Used Vehicle Number	6

VehicleID	CustomerID
0	o-12-3-34-65-63-31-33-29-50-71-30-19-48-90-9-51-78-7-82-46-10-66-20-32-35-24-4-21-72-75-25-80-77-70-1-d
1	o-83-45-5-85-98-37-91-14-42-15-39-23-67-73-61-38-86-57-22-41-94-96-59-95-56-55-43-74-26-13-89-60-17-93-100-58-2-52-d
2	o-92-36-47-27-28-69-64-11-62-44-16-99-88-18-8-84-53-6-97-68-54-d
3	o-76-79-40-49-d
4	o-81-d
5	o-87-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
