Evaluation
Total Distance	1269.7653992852981
Used Vehicle Number	3

VehicleID	CustomerID
0	o-95-75-23-21-19-51-76-18-22-63-31-28-27-29-30-26-32-33-34-50-62-85-89-49-48-25-77-58-97-59-74-24-20-66-56-91-54-93-80-d
1	o-98-69-72-42-44-36-38-39-40-41-2-5-45-8-46-7-6-78-47-17-16-15-13-9-11-14-12-73-79-10-53-60-3-1-4-43-35-37-68-55-100-70-d
2	o-88-71-67-84-64-83-57-86-87-52-99-82-65-90-92-94-61-81-96-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
