Evaluation
Total Distance	1553.3036947916678
Used Vehicle Number	3

VehicleID	CustomerID
0	o-92-72-42-44-36-38-39-45-5-7-78-47-16-15-14-12-11-9-73-79-3-1-8-46-4-6-2-17-97-58-77-59-13-10-74-25-48-24-55-60-d
1	o-62-63-31-29-27-28-30-33-76-85-51-22-21-19-18-89-49-20-87-75-23-57-99-86-53-32-26-37-35-43-54-68-70-100-d
2	o-64-83-52-82-98-88-69-65-95-67-61-41-40-34-50-84-56-91-96-94-93-71-80-81-90-66-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
