Evaluation
Total Distance	1452.520072385273
Used Vehicle Number	3

VehicleID	CustomerID
0	o-83-23-21-19-63-30-28-27-29-31-33-85-76-18-22-49-89-48-25-51-64-86-74-87-9-13-17-14-10-59-97-58-77-24-20-56-93-32-d
1	o-69-82-52-11-75-15-16-47-12-73-78-79-7-8-5-45-46-6-3-1-4-2-60-98-88-55-100-70-68-90-53-57-50-34-26-91-66-80-d
2	o-65-92-95-62-67-71-72-61-42-39-36-38-40-81-84-94-41-35-37-43-44-99-96-54-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
