Evaluation
Total Distance	1516.7046300925563
Used Vehicle Number	3

VehicleID	CustomerID
0	o-92-95-62-63-67-71-72-31-28-27-29-30-33-89-76-18-21-48-23-25-77-75-58-19-49-20-51-85-84-24-56-50-34-32-26-93-54-35-70-d
1	o-65-83-64-98-88-2-45-7-82-52-59-87-78-79-73-13-16-15-17-47-14-12-11-10-9-99-57-86-74-22-66-100-60-97-55-1-4-d
2	o-69-5-42-39-44-38-40-61-81-94-90-53-6-8-46-3-68-80-91-96-41-37-43-36-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
