Evaluation
Total Distance	1559.7062790135979
Used Vehicle Number	3

VehicleID	CustomerID
0	o-98-69-72-71-42-44-36-38-39-40-41-2-5-45-46-8-79-73-78-47-17-16-15-13-11-14-12-7-10-60-6-4-3-100-70-54-37-35-43-1-80-d
1	o-65-83-64-52-59-75-23-21-19-18-76-33-63-85-51-22-49-57-86-87-74-24-20-48-25-77-58-97-9-56-50-34-32-26-93-89-d
2	o-82-92-95-62-67-99-88-90-53-61-81-94-84-66-29-31-28-30-27-91-55-68-96-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
