Evaluation
Total Distance	1208.1087525477483
Used Vehicle Number	3

VehicleID	CustomerID
0	o-18-82-48-19-47-46-36-64-11-63-90-32-20-65-71-34-78-79-81-9-51-30-88-7-8-49-10-66-35-29-24-55-25-56-75-4-54-68-80-12-3-77-50-31-70-1-28-d
1	o-60-83-5-96-95-97-92-59-37-98-85-91-61-16-86-14-42-44-38-43-15-23-67-21-73-72-22-41-57-87-6-84-52-89-94-13-17-100-93-58-26-74-2-d
2	o-33-39-45-62-69-76-27-40-53-99-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
