Evaluation
Total Distance	1363.317651718157
Used Vehicle Number	3

VehicleID	CustomerID
0	o-81-34-71-65-20-32-90-11-19-47-48-46-36-64-62-31-30-51-9-78-79-29-24-54-3-66-10-49-83-5-61-16-91-100-37-98-43-14-86-17-82-7-63-d
1	o-94-95-96-59-85-92-42-57-2-21-73-72-75-39-23-67-15-44-38-84-8-60-99-41-22-87-56-55-68-50-35-80-77-12-25-4-74-58-13-89-18-93-97-d
2	o-28-26-1-33-27-69-52-88-45-40-53-6-76-70-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
