Evaluation
Total Distance	1532.2805445866607
Used Vehicle Number	3

VehicleID	CustomerID
0	o-19-47-46-36-63-90-32-20-51-81-34-71-65-30-62-11-64-7-5-61-16-86-84-83-8-18-82-48-49-52-31-10-66-3-24-29-35-25-80-77-d
1	o-59-37-98-85-91-14-43-42-57-15-2-21-73-72-75-39-54-22-41-23-87-67-79-9-78-55-56-74-4-97-100-93-26-12-68-58-13-95-28-1-70-50-d
2	o-89-94-96-92-27-33-69-60-45-88-76-40-99-6-44-53-38-17-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
