Evaluation
Total Distance	1811.3752919544859
Used Vehicle Number	19

VehicleID	CustomerID
0	o-2-42-15-87-57-43-91-85-58-d
1	o-75-39-23-67-56-4-25-26-d
2	o-82-48-47-19-49-32-7-52-d
3	o-5-59-37-98-16-86-83-17-96-94-d
4	o-50-65-71-9-34-35-3-12-d
5	o-92-21-72-73-41-97-13-100-95-d
6	o-63-64-90-10-31-70-1-d
7	o-14-44-38-60-93-d
8	o-33-29-78-55-24-80-d
9	o-27-69-76-79-68-77-d
10	o-45-88-8-46-89-d
11	o-28-22-74-d
12	o-30-81-54-d
13	o-62-51-66-d
14	o-36-11-20-d
15	o-61-84-d
16	o-99-6-d
17	o-40-53-d
18	o-18-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
