Evaluation
Total Distance	1930.4138551808485
Used Vehicle Number	20

VehicleID	CustomerID
0	o-50-65-71-9-35-34-3-d
1	o-75-39-23-67-56-4-21-72-26-d
2	o-2-42-73-22-43-98-85-91-d
3	o-83-45-48-19-49-7-82-5-96-d
4	o-95-59-37-44-38-97-17-94-d
5	o-1-33-30-51-20-32-70-31-d
6	o-52-12-29-78-54-24-80-d
7	o-14-16-86-60-93-d
8	o-92-61-84-13-89-58-d
9	o-36-47-8-46-100-d
10	o-63-62-81-66-77-d
11	o-27-69-88-90-10-d
12	o-15-41-55-25-d
13	o-64-68-d
14	o-28-87-57-74-d
15	o-18-6-d
16	o-76-79-d
17	o-40-53-d
18	o-99-d
19	o-11-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
