Evaluation
Total Distance	1836.352667813926
Used Vehicle Number	20

VehicleID	CustomerID
0	o-50-65-71-9-35-34-3-d
1	o-63-64-49-7-82-48-83-d
2	o-75-39-23-67-56-74-21-72-26-d
3	o-14-91-44-38-43-37-98-85-93-d
4	o-36-47-19-90-66-31-1-d
5	o-45-5-59-8-46-17-95-96-d
6	o-92-42-16-86-97-13-2-94-d
7	o-12-33-30-51-20-32-52-d
8	o-62-11-10-70-d
9	o-28-29-78-55-4-25-d
10	o-15-41-54-24-80-d
11	o-27-69-76-81-68-77-d
12	o-73-22-60-89-58-d
13	o-79-100-d
14	o-61-84-d
15	o-87-57-d
16	o-88-6-d
17	o-99-d
18	o-18-d
19	o-40-53-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
