Evaluation
Total Distance	1926.4870230008648
Used Vehicle Number	20

VehicleID	CustomerID
0	o-92-98-85-91-44-86-83-5-96-59-37-d
1	o-2-42-15-41-72-56-74-21-75-d
2	o-14-38-43-13-94-95-d
3	o-45-47-19-49-7-82-48-31-d
4	o-63-64-90-66-34-3-d
5	o-1-27-69-30-51-20-32-50-12-d
6	o-26-33-29-78-35-77-d
7	o-52-28-76-79-10-70-d
8	o-36-11-8-46-17-100-d
9	o-39-23-67-55-4-25-d
10	o-65-71-9-68-24-80-d
11	o-62-88-84-97-60-89-58-d
12	o-16-57-54-93-d
13	o-61-6-d
14	o-73-22-d
15	o-99-d
16	o-40-53-d
17	o-18-d
18	o-87-d
19	o-81-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
