Evaluation
Total Distance	2071.874238570313
Used Vehicle Number	21

VehicleID	CustomerID
0	o-50-3-34-71-9-66-31-70-1-d
1	o-75-39-23-67-56-74-72-21-2-d
2	o-12-33-29-78-55-4-25-26-d
3	o-37-98-91-85-16-86-82-7-83-5-d
4	o-14-59-61-6-94-95-97-60-93-96-d
5	o-45-47-48-8-46-17-52-d
6	o-63-64-90-10-32-77-d
7	o-36-11-49-13-100-d
8	o-92-42-15-41-43-89-58-d
9	o-62-18-84-80-d
10	o-69-19-20-d
11	o-28-73-22-54-24-d
12	o-27-30-51-35-d
13	o-44-38-d
14	o-40-57-d
15	o-76-53-68-d
16	o-65-81-d
17	o-79-d
18	o-87-d
19	o-88-d
20	o-99-d
21	o-d
22	o-d
23	o-d
24	o-d
