Evaluation
Total Distance	1794.856415384348
Used Vehicle Number	12

VehicleID	CustomerID
0	o-17-18-13-15-19-14-16-12-99-d
1	o-20-32-33-24-29-38-39-36-34-50-52-d
2	o-5-3-8-7-10-9-11-100-6-2-1-75-d
3	o-78-83-71-70-73-84-85-88-89-69-47-d
4	o-55-54-57-35-37-30-28-26-23-22-49-d
5	o-90-81-53-56-61-72-64-68-66-21-d
6	o-43-42-25-27-44-46-45-48-51-91-d
7	o-67-65-40-41-74-60-58-59-80-d
8	o-87-76-86-82-92-93-97-4-d
9	o-98-96-63-62-79-77-d
10	o-94-95-d
11	o-31-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
