Evaluation
Total Distance	1462.7575495740534
Used Vehicle Number	13

VehicleID	CustomerID
0	o-96-95-92-94-93-100-97-99-1-75-d
1	o-55-54-53-56-58-60-59-48-51-50-47-d
2	o-42-40-41-46-45-38-39-36-34-52-49-d
3	o-57-76-71-70-73-61-64-68-66-69-d
4	o-18-19-13-15-30-28-26-23-22-21-d
5	o-78-83-81-84-82-88-85-89-91-d
6	o-98-17-37-16-12-14-6-2-d
7	o-86-87-90-72-74-77-79-80-d
8	o-5-3-7-8-10-9-11-4-d
9	o-43-33-31-35-44-d
10	o-32-25-24-27-29-d
11	o-65-63-67-62-d
12	o-20-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
