Evaluation
Total Distance	1404.888551254574
Used Vehicle Number	11

VehicleID	CustomerID
0	o-67-63-65-62-72-74-73-77-79-80-69-d
1	o-3-7-5-10-8-11-12-9-6-2-1-75-d
2	o-13-18-17-15-19-14-16-99-100-d
3	o-55-54-57-53-56-60-58-59-d
4	o-96-95-98-94-93-92-97-88-89-d
5	o-90-86-87-82-83-85-84-61-4-91-47-d
6	o-24-33-20-37-29-38-39-36-34-52-49-d
7	o-42-41-43-40-46-44-48-45-50-51-22-d
8	o-32-35-31-27-28-30-23-26-66-21-d
9	o-81-76-78-70-71-68-64-d
10	o-25-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
