Evaluation
Total Distance	1250.458974191989
Used Vehicle Number	11

VehicleID	CustomerID
0	o-81-78-76-71-73-70-79-77-80-91-1-d
1	o-55-57-54-53-56-58-59-60-d
2	o-98-96-95-94-93-92-100-97-89-99-d
3	o-33-32-31-35-37-38-36-39-34-d
4	o-18-19-13-15-14-16-9-12-75-d
5	o-90-87-86-83-84-82-88-85-4-2-52-d
6	o-3-7-17-8-10-11-28-6-21-22-49-d
7	o-42-43-40-41-44-46-45-48-50-51-69-47-d
8	o-65-63-67-62-74-61-72-68-64-66-d
9	o-20-24-25-27-29-30-23-26-d
10	o-5-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
