Evaluation
Total Distance	1777.9976564976355
Used Vehicle Number	11

VehicleID	CustomerID
0	o-98-96-95-92-94-93-100-97-99-1-d
1	o-17-8-13-11-16-6-9-4-2-52-d
2	o-20-5-7-3-15-12-14-36-34-47-49-d
3	o-24-33-18-19-10-30-39-51-50-69-75-d
4	o-25-27-29-38-37-28-22-26-21-d
5	o-32-35-31-56-58-60-48-23-91-d
6	o-57-54-53-40-44-59-45-68-66-d
7	o-42-43-55-41-61-46-64-79-80-d
8	o-81-78-76-62-74-72-77-89-d
9	o-67-65-63-71-73-70-85-88-d
10	o-90-87-86-83-84-82-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
