Evaluation
Total Distance	1245.0277101873578
Used Vehicle Number	3

VehicleID	CustomerID
0	o-57-42-43-14-86-16-61-91-37-92-59-93-85-5-46-45-17-44-38-97-95-96-99-60-8-83-84-47-36-49-64-63-90-32-66-65-51-81-78-34-35-71-20-30-10-19-48-98-d
1	o-18-82-7-88-31-70-33-3-29-24-54-80-68-50-1-69-11-76-79-9-12-26-53-40-21-73-72-39-56-75-22-41-55-4-74-2-13-94-6-89-100-58-25-77-28-52-d
2	o-62-27-23-15-67-87-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
