Evaluation
Total Distance	1375.3034015893538
Used Vehicle Number	4

VehicleID	CustomerID
0	o-33-81-78-34-35-71-20-30-64-49-36-46-48-47-19-11-10-63-90-32-66-51-79-9-3-68-80-54-21-72-73-41-22-75-56-39-4-55-24-29-12-50-77-1-31-70-65-d
1	o-60-83-45-17-61-16-86-93-37-98-85-91-14-42-43-15-57-23-2-67-97-95-59-84-82-7-88-52-18-89-96-5-6-94-13-40-74-27-28-25-100-58-26-d
2	o-92-62-69-44-76-99-38-87-8-d
3	o-53-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
