Evaluation
Total Distance	1210.8297797078517
Used Vehicle Number	4

VehicleID	CustomerID
0	o-91-61-16-86-17-45-46-48-47-36-49-64-19-11-63-90-32-66-65-81-78-34-35-71-9-33-51-20-30-70-10-88-7-82-83-60-5-85-14-43-41-22-75-56-57-42-100-37-98-93-59-27-d
1	o-89-6-94-96-95-97-92-2-40-21-73-72-39-23-15-44-67-54-24-29-3-79-52-18-31-1-50-68-80-12-26-55-4-74-13-25-77-58-28-d
2	o-69-62-76-38-99-87-8-84-d
3	o-53-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
