Evaluation
Total Distance	1228.147564160058
Used Vehicle Number	4

VehicleID	CustomerID
0	o-43-14-91-61-16-86-17-45-46-48-47-36-49-64-19-11-63-90-32-20-66-71-65-35-9-81-33-51-34-78-3-68-80-22-75-56-39-55-4-72-74-41-57-73-21-54-25-29-24-d
1	o-7-82-60-83-5-59-93-85-98-37-92-97-42-15-44-2-23-67-40-26-28-79-30-70-10-88-31-89-6-94-95-96-18-52-27-13-1-50-77-100-58-12-d
2	o-69-62-76-38-99-87-84-8-d
3	o-53-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
