Evaluation
Total Distance	1607.0070000400183
Used Vehicle Number	15

VehicleID	CustomerID
0	o-98-37-14-44-38-86-43-91-85-d
1	o-83-45-5-61-16-84-17-93-59-96-d
2	o-95-92-42-15-99-6-97-2-100-94-d
3	o-21-72-39-23-67-56-4-74-75-26-d
4	o-48-47-36-64-49-82-7-31-52-d
5	o-1-63-11-19-8-46-60-89-58-d
6	o-3-34-65-9-66-35-77-d
7	o-50-33-71-81-78-20-32-70-d
8	o-12-28-73-41-57-55-25-80-d
9	o-29-51-79-68-54-24-d
10	o-27-69-62-88-90-10-13-d
11	o-30-76-d
12	o-18-87-d
13	o-40-53-d
14	o-22-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
