Evaluation
Total Distance	1865.381151879202
Used Vehicle Number	16

VehicleID	CustomerID
0	o-98-37-92-44-38-86-43-85-91-d
1	o-14-42-15-22-41-72-56-74-75-21-d
2	o-52-31-27-30-90-66-35-34-d
3	o-50-3-33-71-9-81-20-32-70-1-d
4	o-26-12-28-29-79-78-68-24-25-d
5	o-5-83-45-19-49-7-82-48-d
6	o-2-39-23-67-54-55-4-80-d
7	o-63-11-64-46-60-17-96-d
8	o-95-59-69-51-10-13-58-94-d
9	o-47-36-88-97-93-100-d
10	o-62-61-84-89-d
11	o-65-53-77-d
12	o-76-40-57-d
13	o-99-16-d
14	o-73-87-6-d
15	o-8-18-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
