Evaluation
Total Distance	1890.2329113302808
Used Vehicle Number	15

VehicleID	CustomerID
0	o-31-27-28-30-34-32-26-50-95-d
1	o-48-21-23-19-59-97-75-d
2	o-91-85-63-76-18-49-20-89-d
3	o-94-33-29-72-35-37-d
4	o-12-14-47-15-16-87-58-77-d
5	o-96-92-62-51-22-24-25-83-d
6	o-42-39-36-40-38-41-43-1-100-d
7	o-2-7-45-3-8-6-46-4-5-70-d
8	o-82-98-73-79-78-13-17-d
9	o-65-52-11-86-57-74-93-d
10	o-69-44-68-54-80-d
11	o-64-99-9-10-60-d
12	o-71-67-84-66-56-d
13	o-88-53-55-d
14	o-61-81-90-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
