Evaluation
Total Distance	1898.3967909567207
Used Vehicle Number	15

VehicleID	CustomerID
0	o-2-7-45-5-8-6-46-4-3-1-100-d
1	o-82-12-14-47-15-16-9-97-75-d
2	o-52-59-11-87-10-13-17-98-d
3	o-83-21-48-23-19-18-49-20-24-25-d
4	o-85-63-76-51-22-89-95-d
5	o-31-27-28-30-34-32-26-50-91-d
6	o-94-33-29-72-35-37-d
7	o-42-39-36-40-38-41-43-93-96-d
8	o-65-92-44-68-54-70-d
9	o-73-78-53-74-58-d
10	o-69-88-79-55-60-80-d
11	o-62-67-84-66-56-d
12	o-64-99-86-57-77-d
13	o-61-81-90-d
14	o-71-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
