Evaluation
Total Distance	1950.950380959647
Used Vehicle Number	16

VehicleID	CustomerID
0	o-83-65-52-59-87-97-75-58-82-d
1	o-95-92-28-30-26-31-32-34-50-d
2	o-37-42-44-38-40-43-35-72-93-d
3	o-12-47-14-15-16-9-10-17-13-98-d
4	o-36-39-61-41-3-1-2-d
5	o-5-45-8-6-46-4-7-60-d
6	o-94-85-63-76-18-49-21-25-48-d
7	o-96-91-69-88-78-74-80-d
8	o-33-29-27-89-d
9	o-62-67-71-56-54-70-d
10	o-64-23-22-20-24-77-d
11	o-11-73-79-55-68-100-d
12	o-19-51-84-66-d
13	o-99-57-86-d
14	o-90-81-d
15	o-53-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
