Evaluation
Total Distance	2065.949419462419
Used Vehicle Number	16

VehicleID	CustomerID
0	o-26-28-27-34-50-32-31-d
1	o-42-36-61-41-43-35-37-d
2	o-1-3-45-5-7-8-46-2-4-70-100-d
3	o-72-39-44-38-40-54-94-93-96-80-d
4	o-59-11-99-97-75-52-d
5	o-82-47-15-90-10-13-12-d
6	o-83-21-48-23-19-18-49-20-24-25-d
7	o-98-14-16-73-78-17-60-d
8	o-85-63-76-51-22-89-95-d
9	o-91-92-64-87-86-77-58-d
10	o-65-62-29-30-56-d
11	o-33-67-84-66-d
12	o-69-88-53-9-74-d
13	o-71-57-55-d
14	o-79-6-68-d
15	o-81-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
