Evaluation
Total Distance	1352.53581985974
Used Vehicle Number	3

VehicleID	CustomerID
0	o-50-33-34-65-63-64-36-47-48-82-7-19-11-62-30-90-71-9-51-81-78-79-3-20-66-46-49-32-10-70-35-24-25-4-75-72-21-80-77-1-d
1	o-83-45-5-85-98-37-91-14-42-44-15-23-39-67-73-22-41-38-86-16-61-84-99-59-95-97-87-57-43-96-94-26-12-68-54-55-56-74-58-13-100-93-17-60-89-2-d
2	o-92-27-69-29-28-8-88-31-76-40-53-52-18-6-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
