Evaluation
Total Distance	1607.1116244626085
Used Vehicle Number	4

VehicleID	CustomerID
0	o-83-5-59-98-85-91-14-42-15-44-16-61-37-92-99-96-95-87-75-23-22-41-86-38-46-8-82-84-49-10-32-66-20-35-34-24-25-80-3-70-7-48-d
1	o-1-50-47-36-63-64-65-71-33-51-79-78-81-29-30-19-90-31-52-9-68-12-54-4-56-43-74-72-21-55-2-100-93-60-94-26-77-d
2	o-39-28-27-69-62-11-88-45-18-40-53-6-57-67-73-13-17-89-97-58-d
3	o-76-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
