Evaluation
Total Distance	2040.796405655426
Used Vehicle Number	16

VehicleID	CustomerID
0	o-2-5-45-7-8-6-46-4-3-1-100-d
1	o-14-47-16-15-9-59-97-75-d
2	o-52-12-11-87-10-13-17-d
3	o-83-21-48-23-19-18-20-89-d
4	o-95-63-85-76-22-25-24-d
5	o-29-28-27-31-34-32-26-50-91-d
6	o-72-33-30-35-37-d
7	o-42-39-36-38-40-41-43-54-93-80-d
8	o-92-44-61-56-94-96-d
9	o-65-62-51-49-77-d
10	o-98-82-73-53-74-60-d
11	o-69-88-79-55-68-70-d
12	o-64-99-86-57-66-d
13	o-90-78-58-d
14	o-71-67-84-d
15	o-81-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
