Evaluation
Total Distance	2150.87822719079
Used Vehicle Number	19

VehicleID	CustomerID
0	o-98-82-69-14-47-10-12-17-60-d
1	o-2-5-45-3-1-6-7-46-4-100-d
2	o-92-28-33-30-32-31-34-26-d
3	o-83-21-48-23-19-18-20-89-d
4	o-42-39-36-38-40-41-43-35-37-d
5	o-95-94-72-71-56-85-50-d
6	o-63-51-76-84-25-24-d
7	o-65-27-29-54-93-96-91-d
8	o-52-75-87-97-59-74-58-d
9	o-16-15-86-57-77-d
10	o-62-67-81-55-68-70-d
11	o-64-22-49-66-80-d
12	o-73-79-13-d
13	o-11-9-d
14	o-44-61-d
15	o-88-78-d
16	o-90-53-d
17	o-8-d
18	o-99-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
