Evaluation
Total Distance	2004.7177167927032
Used Vehicle Number	17

VehicleID	CustomerID
0	o-29-28-27-31-34-32-26-50-91-d
1	o-12-47-16-15-87-59-97-75-58-d
2	o-63-85-51-76-18-48-89-80-d
3	o-92-95-33-30-21-25-24-d
4	o-52-19-23-22-49-20-77-d
5	o-42-39-36-37-38-40-43-35-93-96-d
6	o-2-7-45-3-1-6-46-5-4-60-d
7	o-65-82-14-11-9-10-13-17-d
8	o-98-69-88-78-73-54-70-d
9	o-72-61-8-94-100-d
10	o-83-79-55-68-d
11	o-64-99-86-57-74-d
12	o-44-41-56-d
13	o-62-67-71-66-d
14	o-90-84-d
15	o-53-d
16	o-81-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
