Evaluation
Total Distance	2453.3206523595545
Used Vehicle Number	19

VehicleID	CustomerID
0	o-92-33-63-85-95-32-d
1	o-82-65-59-75-52-24-91-d
2	o-98-69-14-47-10-12-17-60-d
3	o-39-42-36-38-40-43-35-37-96-d
4	o-2-5-45-7-8-6-46-4-1-3-d
5	o-72-62-30-28-31-34-26-d
6	o-16-15-78-73-13-70-d
7	o-83-11-87-86-97-58-d
8	o-21-64-18-89-48-d
9	o-44-41-54-94-50-80-d
10	o-19-23-22-20-49-77-d
11	o-29-67-51-56-93-d
12	o-27-71-66-100-d
13	o-76-84-74-d
14	o-61-88-53-55-68-d
15	o-99-57-25-d
16	o-79-d
17	o-9-d
18	o-90-81-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
