Evaluation
Total Distance	1750.6733106687957
Used Vehicle Number	4

VehicleID	CustomerID
0	o-83-64-65-82-11-15-47-14-12-52-78-16-59-75-77-21-19-25-23-18-76-49-22-20-74-9-13-17-97-24-32-89-48-58-d
1	o-92-95-62-72-42-39-36-44-38-41-40-70-2-6-7-79-8-5-73-53-88-55-100-4-46-3-43-1-45-35-93-56-66-91-60-80-d
2	o-69-63-33-28-27-31-29-30-67-71-61-98-99-86-87-57-51-84-85-94-96-50-26-34-37-54-68-d
3	o-90-81-10-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
