Evaluation
Total Distance	1931.7260611346458
Used Vehicle Number	4

VehicleID	CustomerID
0	o-92-95-72-42-39-36-44-38-5-45-79-73-78-7-2-88-4-46-8-6-3-40-35-37-41-43-70-100-60-74-58-13-17-1-93-d
1	o-83-64-33-63-15-16-47-14-12-11-75-59-77-25-23-18-87-57-99-10-97-9-48-20-66-56-32-89-24-91-80-d
2	o-65-62-27-28-30-29-31-67-76-21-22-51-85-84-86-19-34-26-49-50-54-96-55-68-d
3	o-69-82-98-71-61-53-90-52-94-81-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
