Evaluation
Total Distance	1894.222934032539
Used Vehicle Number	4

VehicleID	CustomerID
0	o-92-62-33-28-27-29-31-30-63-76-21-95-84-85-18-23-25-19-49-22-64-51-20-50-26-32-34-56-24-74-13-58-77-48-89-80-d
1	o-65-69-11-14-47-15-59-75-16-12-9-52-83-86-87-17-73-79-8-78-10-99-53-60-97-55-100-70-39-35-1-4-d
2	o-72-42-36-44-38-45-5-2-6-7-88-82-93-71-40-67-94-66-57-68-46-43-54-91-d
3	o-41-61-90-98-81-37-3-96-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
