Evaluation
Total Distance	1869.6690360542216
Used Vehicle Number	4

VehicleID	CustomerID
0	o-92-95-62-64-83-23-21-63-76-27-28-33-30-29-31-85-51-84-34-50-20-49-25-89-32-26-56-24-74-13-58-77-48-d
1	o-65-11-15-47-14-88-98-82-52-99-12-78-73-79-16-9-59-75-86-87-22-57-97-10-60-6-46-45-4-1-35-39-68-70-100-55-17-d
2	o-69-72-36-44-42-38-67-71-41-40-61-93-90-19-18-94-80-53-8-43-37-54-96-91-66-d
3	o-2-7-5-81-3-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
