Evaluation
Total Distance	1646.3207500626772
Used Vehicle Number	4

VehicleID	CustomerID
0	o-95-62-63-27-28-33-30-29-31-67-19-51-85-76-18-21-23-25-77-58-74-86-57-22-49-20-89-50-26-32-48-24-66-56-91-93-70-80-d
1	o-65-92-72-42-39-36-44-38-5-45-6-2-8-7-79-73-78-17-16-15-13-11-14-10-9-53-46-4-3-1-43-41-35-37-54-68-55-60-100-d
2	o-69-64-83-82-98-52-75-59-47-12-71-40-61-81-90-94-34-84-97-96-d
3	o-88-87-99-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
