Evaluation
Total Distance	1684.1208027379043
Used Vehicle Number	4

VehicleID	CustomerID
0	o-24-20-19-63-33-28-26-27-29-32-89-18-48-21-23-75-97-59-87-16-47-9-73-14-12-10-86-52-57-74-13-17-60-7-46-5-3-1-2-100-70-61-81-90-d
1	o-37-72-94-92-95-51-85-34-31-30-62-67-71-50-76-84-49-22-56-96-54-68-55-66-98-25-77-58-82-83-91-80-d
2	o-45-43-36-39-42-44-69-88-40-38-41-6-8-79-35-4-93-d
3	o-65-15-11-64-99-78-53-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
