Evaluation
Total Distance	1724.8401520914947
Used Vehicle Number	4

VehicleID	CustomerID
0	o-89-63-50-34-32-31-29-33-28-27-85-51-76-30-67-95-84-24-22-20-49-19-57-52-86-59-97-75-74-21-48-18-77-58-25-26-d
1	o-45-46-7-73-12-14-47-16-15-83-64-62-23-87-9-99-78-79-6-5-3-1-2-60-10-13-17-4-43-37-72-71-98-82-d
2	o-91-92-94-96-54-81-61-42-36-39-44-69-88-40-38-41-8-53-55-68-66-56-90-35-70-100-80-93-d
3	o-65-11-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
