Evaluation
Total Distance	1836.858306842147
Used Vehicle Number	4

VehicleID	CustomerID
0	o-75-57-65-82-60-73-12-14-47-16-15-11-97-59-87-9-52-22-24-19-18-48-21-49-20-89-26-28-32-63-85-51-74-77-25-58-83-86-90-d
1	o-29-31-34-50-92-95-62-33-30-27-71-67-76-72-54-94-84-56-7-46-5-3-1-37-43-35-61-70-100-81-96-93-91-d
2	o-98-2-45-36-39-42-69-88-38-44-41-40-6-8-66-10-55-4-17-13-80-d
3	o-23-64-79-78-53-99-68-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
