Evaluation
Total Distance	1864.3671861235573
Used Vehicle Number	4

VehicleID	CustomerID
0	o-89-63-50-34-32-28-26-33-29-27-85-51-76-30-71-72-40-43-41-37-54-94-95-59-97-75-74-24-20-19-21-48-18-25-31-d
1	o-82-52-86-57-83-91-92-39-3-1-44-38-61-81-67-84-22-49-16-47-14-12-10-73-60-7-46-5-4-2-35-70-100-98-80-93-96-d
2	o-65-45-42-36-62-23-64-99-88-78-79-8-6-53-56-66-55-68-13-17-77-58-90-d
3	o-69-15-11-9-87-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
