Evaluation
Total Distance	1507.9530804530032
Used Vehicle Number	12

VehicleID	CustomerID
0	o-33-32-30-28-26-27-29-31-34-91-80-d
1	o-70-1-5-3-45-46-8-4-2-100-68-d
2	o-88-7-6-79-73-17-78-60-55-d
3	o-71-72-39-38-40-43-35-36-37-93-d
4	o-69-61-44-42-41-50-96-54-d
5	o-63-89-76-18-48-21-23-56-d
6	o-19-25-77-75-58-59-66-d
7	o-12-11-9-13-15-16-97-47-14-d
8	o-64-51-85-84-20-49-22-57-24-d
9	o-65-83-52-99-86-87-10-74-d
10	o-82-98-90-95-62-67-94-92-d
11	o-81-53-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
