Evaluation
Total Distance	1473.2137294365557
Used Vehicle Number	12

VehicleID	CustomerID
0	o-2-45-5-46-8-7-6-4-3-1-100-d
1	o-12-14-47-17-16-15-11-13-9-59-74-d
2	o-75-58-87-97-10-60-55-d
3	o-64-19-23-25-48-21-18-89-63-d
4	o-52-24-22-77-49-20-83-66-91-80-d
5	o-62-30-32-33-28-31-29-27-26-d
6	o-95-76-51-85-84-50-34-93-d
7	o-38-39-41-42-44-40-43-36-37-35-d
8	o-69-98-88-78-73-79-53-68-70-d
9	o-72-71-67-92-56-94-96-54-d
10	o-82-65-90-99-86-57-d
11	o-81-61-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
