Evaluation
Total Distance	1959.0210634590871
Used Vehicle Number	13

VehicleID	CustomerID
0	o-59-75-58-87-74-97-13-d
1	o-72-35-36-38-81-41-39-37-d
2	o-42-44-40-70-61-54-43-d
3	o-92-67-31-29-71-27-d
4	o-64-19-23-25-48-21-18-89-63-d
5	o-95-62-51-84-85-76-33-91-d
6	o-45-5-8-46-4-3-7-6-2-1-100-d
7	o-98-12-15-16-17-47-88-78-60-55-d
8	o-14-11-9-79-73-10-68-d
9	o-52-77-24-22-20-49-57-66-80-d
10	o-65-82-99-86-53-69-90-83-56-d
11	o-30-28-26-94-50-93-d
12	o-32-96-34-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
