Evaluation
Total Distance	1600.846564868454
Used Vehicle Number	12

VehicleID	CustomerID
0	o-62-30-32-33-28-31-29-27-26-d
1	o-59-58-77-87-97-75-74-d
2	o-63-51-85-76-18-48-89-d
3	o-95-71-93-67-84-50-34-91-d
4	o-64-19-24-22-23-21-49-20-25-80-d
5	o-38-39-41-42-44-40-43-36-37-35-d
6	o-14-47-17-12-11-13-15-16-10-60-d
7	o-2-45-1-4-7-8-46-3-5-70-100-d
8	o-98-88-78-6-79-73-68-55-d
9	o-65-82-52-99-83-57-86-9-66-d
10	o-92-61-81-54-96-94-72-d
11	o-69-90-56-53-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
