Evaluation
Total Distance	1701.0911293898519
Used Vehicle Number	13

VehicleID	CustomerID
0	o-82-52-75-58-65-74-d
1	o-12-11-9-13-15-16-73-17-47-14-d
2	o-59-77-87-97-10-60-d
3	o-62-63-89-76-51-85-33-d
4	o-5-45-1-7-8-46-4-3-70-100-55-d
5	o-67-31-32-30-28-27-26-34-29-d
6	o-23-21-48-18-19-49-22-24-20-25-d
7	o-38-36-35-40-37-39-42-44-41-43-d
8	o-2-88-53-78-79-6-68-80-d
9	o-83-95-84-50-64-57-66-91-d
10	o-92-72-93-94-96-71-56-54-d
11	o-98-99-86-90-69-d
12	o-81-61-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
