Evaluation
Total Distance	1436.5898372279378
Used Vehicle Number	4

VehicleID	CustomerID
0	o-12-14-16-19-18-26-28-32-34-37-35-31-38-39-36-52-50-51-46-40-44-81-71-73-70-80-79-72-61-57-54-59-60-d
1	o-3-7-98-95-94-97-100-92-83-85-82-86-90-91-4-89-88-84-96-63-43-45-47-15-17-13-25-9-11-5-75-2-1-d
2	o-67-62-74-48-29-24-64-66-69-68-65-49-55-53-56-58-21-23-76-42-41-78-77-87-20-d
3	o-22-93-27-30-99-6-33-10-8-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
