Evaluation
Total Distance	1787.3542344122468
Used Vehicle Number	4

VehicleID	CustomerID
0	o-3-7-98-95-94-97-100-92-83-81-73-71-85-82-86-91-88-84-90-89-75-2-15-12-14-16-19-18-26-28-37-34-1-d
1	o-5-93-96-74-72-99-63-61-49-54-60-53-4-58-46-57-40-44-51-50-45-47-31-32-52-42-41-43-48-59-d
2	o-20-29-24-27-30-21-6-33-69-68-65-55-39-36-56-23-76-70-13-25-9-11-10-8-87-d
3	o-22-67-62-64-66-35-38-17-80-79-78-77-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
