Evaluation
Total Distance	1429.1369890403118
Used Vehicle Number	4

VehicleID	CustomerID
0	o-73-71-85-82-83-100-97-92-94-95-98-3-7-4-91-90-88-84-86-96-72-54-76-81-70-80-79-61-78-77-89-87-d
1	o-12-14-16-19-18-26-28-32-34-37-35-31-38-39-36-52-50-51-46-40-44-57-45-47-43-48-63-29-42-41-24-59-60-d
2	o-67-62-74-1-99-64-66-69-68-65-49-55-20-53-56-58-23-75-5-2-15-17-13-25-9-11-10-8-21-d
3	o-22-93-27-30-6-33-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
