Evaluation
Total Distance	1571.1795196247797
Used Vehicle Number	5

VehicleID	CustomerID
0	o-7-98-95-94-97-99-100-92-3-1-2-12-14-16-19-18-26-23-28-37-34-32-31-57-54-59-60-51-50-52-29-24-20-d
1	o-90-86-83-82-85-81-71-73-96-72-61-49-55-53-56-58-63-47-46-40-44-43-45-70-80-79-42-41-77-91-48-d
2	o-89-75-5-27-30-6-64-66-69-68-65-38-39-36-88-84-76-15-17-13-25-9-11-10-8-87-21-d
3	o-93-67-62-74-33-35-4-78-d
4	o-22-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
