Evaluation
Total Distance	1544.4134963387364
Used Vehicle Number	4

VehicleID	CustomerID
0	o-2-93-98-95-94-97-100-92-91-86-83-81-73-71-85-82-88-84-90-89-7-3-1-15-12-14-16-19-18-26-28-37-75-d
1	o-72-67-62-74-46-57-59-60-54-68-65-49-55-53-56-58-52-34-32-31-50-51-45-47-43-96-80-79-78-77-63-87-61-d
2	o-29-22-21-27-30-6-20-48-33-35-38-39-36-4-5-23-40-44-76-70-13-25-9-11-10-8-24-d
3	o-99-64-66-69-17-42-41-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
